iso,gid,iso3,subarea,hdi,population,fraction_urban_pop,fraction_pop_under5,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
BGD.3.1.1_1,BGD.3.1.1_1,BGD,Adabor,0.67,291844,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.2_1,BGD.3.1.2_1,BGD,Badda,0.67,1215961,0.999434131927298,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.3_1,BGD.3.1.3_1,BGD,Bangshal,0.67,307614,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.4_1,BGD.3.1.4_1,BGD,Biman Bandar,0.67,68353,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.5_1,BGD.3.1.5_1,BGD,Cantonment,0.67,276870,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.6_1,BGD.3.1.6_1,BGD,Chak Bazar,0.67,250180,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.7_1,BGD.3.1.7_1,BGD,Dakshinkhan,0.67,280201,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.8_1,BGD.3.1.8_1,BGD,Darus Salam,0.67,121814,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.9_1,BGD.3.1.9_1,BGD,Demra,0.67,563942,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.10_1,BGD.3.1.10_1,BGD,Dhamrai,0.67,640924,0.996096601460952,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.11_1,BGD.3.1.11_1,BGD,Dhanmondi,0.67,238687,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.12_1,BGD.3.1.12_1,BGD,Dohar,0.67,347906,0.996589914897373,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.13_1,BGD.3.1.13_1,BGD,Gendaria,0.67,106586,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.14_1,BGD.3.1.14_1,BGD,Gulshan,0.67,422700,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
BGD.3.1.15_1,BGD.3.1.15_1,BGD,Hazaribagh,0.67,314664,1.0,0.0938956229563377,0.0,0.0,0.043,0.131,0.366,0.293,0.0,0.001,0.0,0.004,0.011,0.15,,0.1,3,0,0,0,0.204,0.0,0.084,0.0,0.0,0.0,0.0,0.017,0.204,0.229,0.008,0.0,0.007,0.001,0.013,0.044,0.477,,0.1,3,0,0,0,0.322,0.0,0.003,0.0,0.0
